@RELATION PPI
@ATTRIBUTE DIMA REAL
@ATTRIBUTE did  REAL
@ATTRIBUTE ipfam  REAL
@ATTRIBUTE gocell(A/B)  REAL
@ATTRIBUTE gomol(A/B)  REAL
@ATTRIBUTE gobio(A/B)  REAL
@ATTRIBUTE interpro  REAL
@ATTRIBUTE class  {0,1}
@DATA
0.0,0.0,0.0,2.0434475075337493,2.041544619262209,2.069744088638771,103.13080253313537,1
0.0,0.0,0.0,2.1905320874547916,2.5597671727718687,2.8636346134025676,2.2201043634153526,1
0.0,0.0,0.0,2.1120525094938403,?,?,72.64208980821623,1
0.0,0.0,0.0,2.001407058161939,?,?,10.83303060084316,1
0.0,0.0,0.0,2.1905320874547916,2.8656196968867476,2.0940269271645917,14.578747749862062,1
0.0,0.0,0.0,2.1905320874547916,2.0827836182965784,1.9907696087746074,4.202198387057435,1
0.0,0.0,0.0,1.9798935045766326,2.07532633142819,1.9898759309013745,2.560760295561978,1
0.0,0.0,0.0,2.1120525094938403,2.0116110476884637,2.0758551738835838,37.44798834962428,1
0.0,0.0,0.0,2.1405510339072036,1.9569367192005953,1.9988054439255263,2.418564181784075,1
0.0,0.0,0.0,2.1905320874547916,0.0,2.0758551738835838,199.08269382109694,1
0.0,0.0,0.0,2.1905320874547916,2.2806927538622546,2.038274708989196,6.103370646461219,1
0.0,0.0,0.0,2.1905320874547916,2.5479826410024238,2.1524838482774493,218.44528559308833,1
0.0,0.0,0.0,2.001407058161939,2.025659798781261,2.0197780084166683,13.70807414099817,1
0.0,0.0,0.0,2.1905320874547916,2.139584061209509,2.0017775883366653,52.50545733635477,1
0.0,0.0,0.0,2.1788332232177683,2.1390833880210693,?,4.261985740044973,1
0.0,0.0,0.0,0.0,?,2.062609049722441,33.71473332417337,1
0.0,0.0,0.0,2.1905320874547916,1.914872621397545,2.0940269271645917,42.98356391674641,1
0.0,0.0,0.0,2.1905320874547916,?,?,15.301144379859435,1
0.0,0.5,0.5,2.1905320874547916,2.139584061209509,2.1910728754118236,3.7072271681245543,1
0.0,0.0,0.0,2.1442334030841526,2.16388281057744,2.1163420525941454,69.21737950294612,1
0.0,0.0,0.0,2.1120525094938403,2.2654348491513603,?,5.8171535699731445,1
0.0,0.25,0.25,2.1120525094938403,2.1393234616260104,2.042420830737144,21.281634920147695,1
0.0,0.0,0.0,2.1905320874547916,2.123212333468377,2.082258582753401,8.319820945723198,1
0.0,0.0,0.0,2.1905320874547916,2.1948142559514947,2.1524838482774493,9.621180576795664,1
0.0,0.0,0.0,1.9350343704029183,2.174391482481798,1.6999020241810923,120.4867239925047,1
0.0,0.0,0.0,1.9596978395129316,?,2.8636346134025676,6.868265822763746,1
0.0,0.0,0.0,2.1120525094938403,?,2.0758551738835838,4.709207656611815,1
0.0,0.0,0.0,2.1788332232177683,?,2.0630245390397492,30.506512070141884,1
0.0,0.0,0.0,2.1905320874547916,2.174391482481798,2.1190890559324247,11.246911943625008,1
0.0,0.0,0.0,2.1905320874547916,0.0,1.9465469426387612,13.780163527661994,1
0.0,0.0,0.0,2.1905320874547916,2.5479826410024238,2.5948642309710697,137.64555070086917,1
0.0,0.0,0.0,2.1405510339072036,2.2806927538622546,?,37.25756707541007,1
0.0,0.3333333333333333,0.3333333333333333,2.1905320874547916,2.139584061209509,2.1910728754118236,47.08814370177054,1
0.0,0.0,0.0,2.1120525094938403,0.0,1.9988054439255263,16.977976362027867,1
0.0,0.0,0.0,2.0779242936723623,2.4774243540358762,?,9.085663010546416,1
0.0,0.0,0.0,2.1905320874547916,2.068553694977712,2.263998402905685,2.8322341286056645,1
0.0,0.0,0.0,2.1530281282689536,0.0,?,36.37304976757333,1
0.0,0.0,0.0,2.1905320874547916,2.03028317661732,?,42.98356391674641,1
0.0,0.0,0.0,2.1905320874547916,2.1125871771714584,2.1163420525941454,18.50408541824026,1
0.0,0.0,0.0,2.1905320874547916,2.2731998955234665,?,2.670895166595338,1
0.0,0.0,0.0,0.0,2.5479826410024238,?,1.4098744202471296,1
0.0,0.0,0.0,2.1905320874547916,2.0494693591900948,2.263259563767348,64.92285939324566,1
0.0,0.0,0.0,2.1405510339072036,?,2.2046151487863086,214.47502989288782,1
0.0,0.0,0.0,2.1905320874547916,2.2102179188943243,1.9421231378139063,298.68818410165136,1
0.0,0.0,0.0,2.1905320874547916,2.139584061209509,2.263998402905685,80.74682686450086,1
0.0,0.0,0.0,2.1905320874547916,2.1173966357998335,?,8.346698695115144,1
0.0,0.0,0.0,1.1776913410321632,1.0837575657151222,1.9270269089486964,190.48078806482556,1
0.0,0.0,0.0,2.1405510339072036,2.0738807533725203,2.2055305076546188,133.17454199095263,1
0.0,0.3333333333333333,0.0,2.1905320874547916,2.1154034541525917,?,9.441501095626943,1
0.0,0.0,0.0,2.001407058161939,?,?,19.384882703200972,1
0.0,0.0,0.0,2.1120525094938403,2.1365649932229656,2.1910728754118236,2.9730188826743977,1
0.0,0.0,0.0,2.1788332232177683,2.1566771870367307,0.0,11.324720929931347,1
0.0,0.0,0.0,2.1905320874547916,2.0994582145002285,2.5948642309710697,2.145520773000674,1
